Airport,Date,Time Interval,Avg_time,Max_time,Passengers,temp,Flights
Ahmedabad Airport,,0000 - 0015,18,24,51,3,3
Ahmedabad Airport,,0015 - 0030,23,26,64,3.833333333,3
Ahmedabad Airport,,0030 - 0045,23,27,63,3.833333333,3
Ahmedabad Airport,,0045 - 0100,19,25,52,3.166666667,3
Ahmedabad Airport,,0100 - 0115,15,20,40,2.5,2
Ahmedabad Airport,,0115 - 0130,10,13,23,1.666666667,1
Ahmedabad Airport,,0130 - 0145,12,15,29,2,2
Ahmedabad Airport,,0145 - 0200,9,12,22,1.5,1
Ahmedabad Airport,,0200 - 0215,16,20,43,2.666666667,2
Ahmedabad Airport,,0215 - 0230,17,20,45,2.833333333,2
Ahmedabad Airport,,0230 - 0245,18,24,49,3,3
Ahmedabad Airport,,0245 - 0300,11,14,27,1.833333333,1
Ahmedabad Airport,,0300 - 0315,16,20,45,2.666666667,2
Ahmedabad Airport,,0315 - 0330,10,15,27,1.666666667,1
Ahmedabad Airport,,0330 - 0345,10,13,27,1.666666667,1
Ahmedabad Airport,,0345 - 0400,17,22,44,2.833333333,2
Ahmedabad Airport,,0400 - 0415,22,28,62,3.666666667,3
Ahmedabad Airport,,0415 - 0430,17,20,46,2.833333333,2
Ahmedabad Airport,,0430 - 0445,21,27,58,3.5,3
Ahmedabad Airport,,0445 - 0500,11,15,30,1.833333333,1
Ahmedabad Airport,,0500 - 0515,15,21,42,2.5,2
Ahmedabad Airport,,0515 - 0530,14,17,35,2.333333333,2
Ahmedabad Airport,,0530 - 0545,12,18,30,2,2
Ahmedabad Airport,,0545 - 0600,18,23,51,3,3
Ahmedabad Airport,,0600 - 0615,13,19,33,2.166666667,2
Ahmedabad Airport,,0615 - 0630,13,19,35,2.166666667,2
Ahmedabad Airport,,0630 - 0645,21,27,60,3.5,3
Ahmedabad Airport,,0645 - 0700,9,13,21,1.5,1
Ahmedabad Airport,,0700 - 0715,22,26,60,3.666666667,3
Ahmedabad Airport,,0715 - 0730,16,22,43,2.666666667,2
Ahmedabad Airport,,0730 - 0745,12,15,32,2,2
Ahmedabad Airport,,0745 - 0800,20,23,57,3.333333333,3
Ahmedabad Airport,,0800 - 0815,15,20,38,2.5,2
Ahmedabad Airport,,0815 - 0830,18,24,49,3,3
Ahmedabad Airport,,0830 - 0845,8,12,18,1.333333333,1
Ahmedabad Airport,,0845 - 0900,14,18,39,2.333333333,2
Ahmedabad Airport,,0900 - 0915,13,19,33,2.166666667,2
