Airport,Date,Time Interval,Avg_time,Max_time,Passengers,temp,Flights
Ahmedabad Airport,,0000 - 0015,24,29,66,4,4
Ahmedabad Airport,,0015 - 0030,15,20,40,2.5,2
Ahmedabad Airport,,0030 - 0045,23,28,65,3.833333333,3
Ahmedabad Airport,,0045 - 0100,20,26,55,3.333333333,3
Ahmedabad Airport,,0100 - 0115,23,28,62,3.833333333,3
Ahmedabad Airport,,0115 - 0130,19,24,50,3.166666667,3
Ahmedabad Airport,,0130 - 0145,15,18,39,2.5,2
Ahmedabad Airport,,0145 - 0200,17,23,45,2.833333333,2
Ahmedabad Airport,,0200 - 0215,18,21,51,3,3
Ahmedabad Airport,,0215 - 0230,11,17,28,1.833333333,1
Ahmedabad Airport,,0230 - 0245,22,25,60,3.666666667,3
Ahmedabad Airport,,0245 - 0300,14,18,38,2.333333333,2
Ahmedabad Airport,,0300 - 0315,10,16,27,1.666666667,1
Ahmedabad Airport,,0315 - 0330,8,13,20,1.333333333,1
Ahmedabad Airport,,0330 - 0345,22,28,60,3.666666667,3
Ahmedabad Airport,,0345 - 0400,17,22,44,2.833333333,2
Ahmedabad Airport,,0400 - 0415,10,13,27,1.666666667,1
Ahmedabad Airport,,0415 - 0430,16,20,42,2.666666667,2
Ahmedabad Airport,,0430 - 0445,10,13,26,1.666666667,1
Ahmedabad Airport,,0445 - 0500,16,20,45,2.666666667,2
Ahmedabad Airport,,0500 - 0515,15,18,42,2.5,2
Ahmedabad Airport,,0515 - 0530,12,17,33,2,2
Ahmedabad Airport,,0530 - 0545,16,22,42,2.666666667,2
Ahmedabad Airport,,0545 - 0600,8,14,17,1.333333333,1
Ahmedabad Airport,,0600 - 0615,20,23,56,3.333333333,3
Ahmedabad Airport,,0615 - 0630,14,19,39,2.333333333,2
Ahmedabad Airport,,0630 - 0645,19,22,52,3.166666667,3
Ahmedabad Airport,,0645 - 0700,12,17,31,2,2
Ahmedabad Airport,,0700 - 0715,18,21,50,3,3
Ahmedabad Airport,,0715 - 0730,12,15,32,2,2
Ahmedabad Airport,,0730 - 0745,21,24,57,3.5,3
Ahmedabad Airport,,0745 - 0800,23,27,64,3.833333333,3
Ahmedabad Airport,,0800 - 0815,15,19,40,2.5,2
Ahmedabad Airport,,0815 - 0830,11,15,30,1.833333333,1
Ahmedabad Airport,,0830 - 0845,15,18,40,2.5,2
Ahmedabad Airport,,0845 - 0900,14,18,36,2.333333333,2
Ahmedabad Airport,,0900 - 0915,23,27,64,3.833333333,3
Ahmedabad Airport,,0915 - 0930,11,14,29,1.833333333,1
Ahmedabad Airport,,0930 - 0945,15,19,39,2.5,2
Ahmedabad Airport,,0945 - 1000,22,25,61,3.666666667,3
Ahmedabad Airport,,1000 - 1015,16,22,45,2.666666667,2
Ahmedabad Airport,,1015 - 1030,15,20,42,2.5,2
Ahmedabad Airport,,1030 - 1045,20,25,56,3.333333333,3
Ahmedabad Airport,,1045 - 1100,10,16,23,1.666666667,1
Ahmedabad Airport,,1100 - 1115,14,20,39,2.333333333,2
Ahmedabad Airport,,1115 - 1130,19,23,50,3.166666667,3
Ahmedabad Airport,,1130 - 1145,15,21,42,2.5,2
Ahmedabad Airport,,1145 - 1200,11,17,29,1.833333333,1
Ahmedabad Airport,,1200 - 1215,17,23,45,2.833333333,2
Ahmedabad Airport,,1215 - 1230,24,28,66,4,4
Ahmedabad Airport,,1230 - 1245,11,17,29,1.833333333,1
Ahmedabad Airport,,1245 - 1300,14,18,38,2.333333333,2
Ahmedabad Airport,,1300 - 1315,18,24,48,3,3
Ahmedabad Airport,,1315 - 1330,21,25,57,3.5,3
Ahmedabad Airport,,1330 - 1345,15,18,38,2.5,2
Ahmedabad Airport,,1345 - 1400,23,26,64,3.833333333,3
Ahmedabad Airport,,1400 - 1415,10,14,25,1.666666667,1
Ahmedabad Airport,,1415 - 1430,15,19,42,2.5,2
Ahmedabad Airport,,1430 - 1445,15,21,40,2.5,2
Ahmedabad Airport,,1445 - 1500,14,18,35,2.333333333,2
Ahmedabad Airport,,1500 - 1515,12,16,31,2,2
Ahmedabad Airport,,1515 - 1530,24,28,67,4,4
Ahmedabad Airport,,1530 - 1545,20,23,55,3.333333333,3
